Sample in Buffer	Sample in Window	/vad	/DP_main/scr_o<0>	/DP_main/scr_o<1>	/DP_main/scr_o<2>	/DP_main/scr_o<3>	/DP_main/scr_o<4>	/DP_main/scr_o<5>	/DP_main/scr_o<6>	/DP_main/scr_o<7>	/DP_main/scr_o<8>	/DP_main/scr_o<9>	/DP_main/scr_o<10>	/DP_main/scr_o<11>	/DP_main/scr_o<12>	/DP_main/scr_o<13>	/DP_main/scr_o<14>	/DP_main/scr_o<15>	/DP_main/scr_o<16>	/DP_main/scr_o<17>	/DP_main/scr_o<18>	/DP_main/scr_o<19>	/DP_main/scr_o<20>	/DP_main/scr_o<21>	/DP_main/scr_o<22>	/DP_main/scr_o<23>	/DP_main/len_o<0>	/DP_main/len_o<1>	/DP_main/len_o<2>	/DP_main/len_o<3>	/DP_main/len_o<4>	/DP_main/len_o<5>	/DP_main/len_o<6>	/DP_main/len_o	/DP_main/scr_o
0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	095FFF	
1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	0976FF	
2	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	097B7F	
3	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	097C7B	
4	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	097D2B	
5	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	097E3F	
6	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	097EFA	
7	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	093EEE	
8	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	093DFA	
9	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	093DFE	
10	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	09567F	
11	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	097E7B	
12	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	097F7B	
13	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	093FBE	
14	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	087EB5	
15	0	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	087EB6	
16	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	08DFA6	
17	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	08FFF6	
18	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	07FFF7	
19	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	07FFF1	
20	0	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	08D773	
21	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	076BFB	
22	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	077AF7	
23	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	077FBB	
24	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	077DF9	
25	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	073EFB	
26	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06DFFB	
27	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06DAFD	
28	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06DEFD	
29	0	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06F76B	
30	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06FF6F	
31	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06DE6A	
32	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	067E6A	
33	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	067FAE	
34	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	067E97	
35	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06FF17	
36	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06FC4B	
37	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06DDDB	
38	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06BEFF	
39	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06F7FB	
40	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06D2F9	
41	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06B3EB	
42	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06B7EF	
43	0	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06B6EB	
44	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06BEFB	
45	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	3B	06BCBF	
46	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	3C	06BE10	
47	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	3C	06DE40	
48	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	3C	06D777	
49	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	3F	07DC77	
50	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	0976FF	
51	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	0976FB	
52	0	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	0977B9	
53	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	0975FF	
54	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	09F5FF	
55	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	09E7DD	
56	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	097FD9	
57	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	097BDF	
58	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	097EDB	
59	0	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	0976DB	
